Product,price,description,user_id,quantity ,category,image
Vimto,1.00,It contains the juice of grapes, raspberries and blackcurrants (in a 3% concentration), flavoured with herbs and spices. ,2,30,Pome,https://www.muslim-shop.com/bilder/produkte/gross/Vimto-Getraenkesirup-710-ml.jpg
Banana,0.25,Bananas are a tropical fruit that grows on a plant that reaches a height of 10 to 25 feet.  The bananas are supported on a large heavy stem and grow with the individual stems facing downward.  Bananas are always picked green and ripen on the way to market.  When ripe, bananas lose their green color and begin to get small brown spots on their yellow skin.,2,50,-,https://images.unsplash.com/photo-1513098872174-2af8a3c9238a?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=c95c19aaa44d82f1aceaa501e6d529c2&auto=format&fit=crop&w=1650&q=80
Rainier Cherries,2.99,Rainier is a cultivar cherry, or a plant selected for desirable characteristics that can be maintained by propagation. It was developed in 1952 at Washington State University by Harold Fogle, and named after Mount Rainier. It is a cross between the Bing and Van cultivars. Rainiers are sweet cherries with a thin skin and thick creamy-yellow flesh. The cherries are very sensitive to temperature, wind, and rain. About 1/3 of a Rainier cherry orchard's crop is eaten by birds, which accounts for their higher prices. Select only firm and unblemished rainier cherries.,2,30,Bunches,http://blog.thefruitcompany.com/blog2014/wp-content/uploads/2016/06/tfc_chocolate_covered_cherries_-3.jpg
Green Grapes,2.00,"
A great energy source because of their natural fruit sugar content",2,300,Bunches,https://images.unsplash.com/photo-1515779122185-2390ccdf060b?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=4d9510f689e293cb68177431cacc57e4&auto=format&fit=crop&w=1650&q=80
Grapefruit,1.00,"One of the largest citrus fruit, grapefruits are a cross between the pomelo and the shaddock. High in vitamin C, grapefruits are best eaten raw, a traditional breakfast fruit. The best way to eat is to cut them in half and scoop out the flesh with a spoon.",2,10,-,https://images.unsplash.com/photo-1512580344356-fd2f966fbeae?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=7045f4d90f98f03cf4f6e13cd97b3c3e&auto=format&fit=crop&w=800&q=60
Kumquat,0.50,"The name means ""golden orange"" in Chinese. Kumquats are often preserved in sweet syrup and used for marmalade and garnishes, but fresh ones are delicious in fruit salads or for eating just as they are.",2,80,-,https://www.potagercity.fr/images/kumquat-58bd74c1857ff.png
Lemon,0.25,"Rarely eaten on its own, lemons are an indispensable ingredient in the kitchen. Lemon juice can be used instead of vinegar in sauces, for seasoning in vinaigrette and as instant dressing for fish and shellfish. The best way to store lemon is in the vegetable crisper in the fridge you can put lemons in fruit bowl for a shorter, check them often - if one starts to spoil, the rest will quickly follow.",2,15,Citrus,https://images.unsplash.com/photo-1432457990754-c8b5f21448de?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=b011e9b1e7a4fcbcfd9aedff10807ac4&auto=format&fit=crop&w=800&q=60
Pineapple,3.00,"Derived from the Spanish word 'pina' meaning pine cone. Pineapples have a juicy, sweet-but sometimes slightly tart-fragrant flavour. They are best eaten fresh, serve pineapple flesh in slices, wedges or chunks. It is also available in cans, dried and glace. A good source of vitamin C.",2,14,Pome,https://images.unsplash.com/photo-1459541708374-6fe9eea39a29?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=475e22522ecbb80d3abfa1ca7a37eaf7&auto=format&fit=crop&w=800&q=60
Plums,1.25,"Plums contain more antioxidant than any other fruit. Plums are delicate so make sure that the one you buy are unblemished, and they should be plump and firm. The small sugar plum is dried to make prunes. Delicious stewed, plums are also ideal for making chutneys.",2,16,Pits,https://images.unsplash.com/photo-1447175025301-707b39e9146f?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=e2c1cb369a8266bb5b8324c41662c57b&auto=format&fit=crop&w=800&q=60
Star Apple,1.15,"The star apple fruits are green to purple with a smooth skin. When sliced horizontally the flesh is translucent white with the seeds forming a star shape. It is best eaten ripe, scooped straight from the skin. It is ripe when soft and should be eaten immediately, but it is still alright to refrigerate for a few days.",2,45,-,http://i19.photobucket.com/albums/b172/Bassgarden/Trinidad/starapple2.jpg
Strawberry,2.78,"A unique fruit, the seeds grow around the outside of the fruit rather than inside it. Comes in many different sizes, colours and shapes, ranging from cone-like, to oval, or heart-shaped. Best to eat on their own or with natural yoghurt. Use strawberries in desserts, fruit salads, preserves, or in milkshakes.",3,26,Edible Skin,https://images.unsplash.com/photo-1495548054858-0e78bb72869e?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=c5e64ec548ca2eae10a301e3cc704153&auto=format&fit=crop&w=800&q=60
Watermelon ,5.00,"The high water content of watermelons means that they are low in calories. They contain some vitamins B and C. Watermelon is excellent juiced, chopped up into a fruit salad, or just eaten in chunky slices.",3,43,-,https://images.unsplash.com/photo-1501648399952-70289b3a1b1d?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=c0508b75adf548daa69fbec8cbd0335c&auto=format&fit=crop&w=686&q=80
Tamarillo,1.65,"these are related to tomatoes and sometimes called ""tree tomatoes."" They are the size of an egg tomato, with dark red skin. The fruit has a strong, sweet flavour that makes it suitable for both sweet or savoury dishes. It can also be used in jams, chutneys, and sorbets.",3,12,-,http://hatgiongnga.net/wp-content/uploads/2017/03/hat-giong-ca-chua-than-go-tamarillo-480x412.jpg
Rambutan,3.40,"The rambutan fruit grows in clusters, with a deep crimson outer skin. The flesh is translucent, and the pale seed is edible when young. Related to lychees and are sometimes known as ""hairy lychees"".(about 5cm / 2inches in diameter) and look quite different but have a similar texture. They can be added to salads, made into jams or jellies, but they are best eaten on their own.",3,3,-,https://pixabay.com/en/lychee-litchi-tropical-fruit-sweet-3064709/
Peach,2.25,"Or pawpaw, a large tropical fruit whose ripe flesh can be juicy, creamy, orange-red, or yellow. In the centre is a mass of large peppery black seeds, which are edible and sometimes crushed and used as a spice. Ripe papaya is eaten as a breakfast fruit or as a dessert. It can also be pureed for ice cream, sorbets and iced drinks.",3,9,Pits,https://images.unsplash.com/photo-1518518886629-0b9000299b8b?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=eb1910975e5c3eae69b31ea78a1828bc&auto=format&fit=crop&w=800&q=60
